Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","33","Canada","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","23547225","Fc","Calculated data"
"TI","Trade Indices","33","Canada","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","151","Fc","Calculated data"
"TI","Trade Indices","37","Central African Republic","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","29457","Fc","Calculated data"
"TI","Trade Indices","37","Central African Republic","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","7880","Fc","Calculated data"
"TI","Trade Indices","37","Central African Republic","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","150","Fc","Calculated data"
"TI","Trade Indices","37","Central African Republic","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","24643","Fc","Calculated data"
"TI","Trade Indices","39","Chad","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","120457","Fc","Calculated data"
"TI","Trade Indices","39","Chad","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","45389","Fc","Calculated data"
"TI","Trade Indices","39","Chad","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","165","Fc","Calculated data"
"TI","Trade Indices","39","Chad","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","97089","Fc","Calculated data"
"TI","Trade Indices","39","Chad","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","24883","Fc","Calculated data"
"TI","Trade Indices","39","Chad","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","109","Fc","Calculated data"
"TI","Trade Indices","40","Chile","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","2389229","Fc","Calculated data"
"TI","Trade Indices","40","Chile","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","5510135","Fc","Calculated data"
"TI","Trade Indices","40","Chile","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","173","Fc","Calculated data"
"TI","Trade Indices","40","Chile","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","1846075","Fc","Calculated data"
"TI","Trade Indices","40","Chile","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","3915671","Fc","Calculated data"
"TI","Trade Indices","40","Chile","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","187","Fc","Calculated data"
"TI","Trade Indices","96","China, Hong Kong SAR","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","8324391","Fc","Calculated data"
"TI","Trade Indices","96","China, Hong Kong SAR","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","4031970","Fc","Calculated data"
"TI","Trade Indices","96","China, Hong Kong SAR","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","141","Fc","Calculated data"
"TI","Trade Indices","96","China, Hong Kong SAR","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","6978433","Fc","Calculated data"
"TI","Trade Indices","96","China, Hong Kong SAR","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","2520661","Fc","Calculated data"
"TI","Trade Indices","96","China, Hong Kong SAR","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","164","Fc","Calculated data"
